id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
15739902,Charming Room between Downtown and the Beach-Porto,101543315,Cristina,PORTO,Lordelo do Ouro e Massarelos,41.15872,-8.6449,Private room,56,2,117,2023-09-30,1.37,1,109,8,67914/AL
42194386,"True People, Real Porto - Studio w/ Garden (1T)",200610900,Helena,PORTO,Campanhã,41.14678,-8.58725,Entire home/apt,45,3,19,2023-09-29,0.85,4,249,6,77089/AL
810756527871655221,Panoramic City View Balcony • Parking • Elev • AC,2730238,Daniel Y Nuno,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1444437,-8.605745899999999,Entire home/apt,90,2,96,2024-03-12,7.06,16,264,82,80132/AL
608517835665366950,APOSENTUS - Charming Torrinha,179432438,Aposentus,PORTO,Lordelo do Ouro e Massarelos,41.152695,-8.622324,Entire home/apt,44,3,45,2024-03-01,1.95,52,315,23,126271/AL
35705692,Boutique family house by the sea - garage & garden,268579346,Foz Townhouse,PORTO,"Aldoar, Foz do Douro e Nevogilde",41.16177,-8.68198,Entire home/apt,280,2,53,2024-01-09,0.94,1,256,18,85245/AL
538275759030229249,Santo António Oporto House,191705918,Paulo,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14572,-8.60776,Entire home/apt,83,3,20,2022-09-20,0.83,1,355,0,101704/AL
1054518093786243808,Poetikblue Blue by We Do Living,552596316,Poetikblue,PORTO,Paranhos,41.1721463,-8.5895213,Entire home/apt,56,2,0,,,4,95,0,138339/AL
39432098,Arrábida House,302876144,Sónia,PORTO,Lordelo do Ouro e Massarelos,41.14941,-8.6458,Entire home/apt,85,2,47,2023-10-25,0.91,1,296,10,101680/AL
53584052,Porto Cedofeita Apartment,12469315,Ana,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1489,-8.61744,Entire home/apt,100,2,21,2023-06-11,0.89,2,255,7,145139/AL
1004213042929070154,Aposentus - St. Francisco Studio,179432438,Aposentus,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1410803,-8.6168087,Entire home/apt,37,3,2,2024-02-20,0.76,52,335,2,49867/AL
21356793,Domus 21 - Grota (Entreparedes),154599542,Gabriela Alina,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14459,-8.60652,Entire home/apt,109,2,34,2024-03-04,0.44,7,292,16,58435/AL
41027447,Studio with patio in guest house Arca d'Água,320278477,Tiago,PORTO,Paranhos,41.1718,-8.61553,Entire home/apt,50,3,33,2024-01-01,0.72,3,62,16,103599/AL
732438188852081692,Casa Delfim Dezoito,130004637,Francisco,PORTO,Paranhos,41.17271,-8.60963,Entire home/apt,32,1,75,2024-03-03,4.29,24,332,67,113817/AL
1044678304486890491,GuestReady - Step by Step,474631083,Carlos,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13895035477591,-8.609714339556737,Entire home/apt,115,1,6,2024-02-24,2.61,1,322,6,104926/AL
41705593,Garden of Camellias★4 Bedroom house near the beach,3849926,Ariana,PORTO,"Aldoar, Foz do Douro e Nevogilde",41.14938,-8.67316,Entire home/apt,403,2,63,2024-01-02,1.89,5,219,24,66307/AL
12502079,RC Rooms,67700738,Miguel,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14874,-8.62206,Entire home/apt,50,2,1,2016-06-01,0.01,2,340,0,46720/AL
45782917,MyStay - Porto Batalha single room with balcony,266233897,MyStay,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14567184448242,-8.607889175415039,Private room,45,1,2,2024-02-11,1.02,10,332,2,119851/AL
1069320436099941179,GuestReady - Sweet Inspiration - C,506562621,Ricardo,PORTO,Paranhos,41.16709470142685,-8.620970396739812,Entire home/apt,60,1,2,2024-02-28,1.50,2,325,2,58636/AL
888575226649629416,Luxury Interior • Parking • Elev • AC • Wash+Dryer,2730238,Daniel Y Nuno,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1444437,-8.605745899999999,Entire home/apt,113,2,61,2024-03-07,6.16,16,245,61,85434/AL
592470934507836964,YOUROPO - City Center 5,16922131,YourOpo,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14166,-8.61333,Entire home/apt,113,1,42,2024-02-26,1.75,92,342,16,123704/AL
887827224860461915,A melhor suíte do Porto 1,264823611,Raquel,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15461,-8.60908,Private room,30,1,50,2024-02-28,4.89,3,28,50,Exempt
38369673,Fernando Pessoa - free street parking - GuestSPA,8767890,Susana & Pedro,PORTO,Paranhos,41.16996,-8.61087,Entire home/apt,34,2,80,2024-03-15,1.47,36,352,41,87043/AL
988563710872614354,Downtown 2minutes center/metro-direct airpot T4,460721193,Maggie,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1510021609766,-8.607937114555398,Entire home/apt,169,1,6,2024-03-03,1.16,4,219,6,Exempt
634615535494331862,Silencioso e confortável  - centro do Porto,192739665,Jéssica,PORTO,Bonfim,41.14828,-8.60177,Entire home/apt,69,2,24,2023-12-02,1.13,17,159,12,132634/AL
20400325,RC Rooms I,67700738,Miguel,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.149410247802734,-8.622387886047363,Entire home/apt,87,2,1,2017-10-08,0.01,2,329,0,46720/AL
916072678602705500,MPB2 quarto single,250524263,Entre Amigos,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.16351,-8.62465,Private room,40,7,7,2023-11-29,0.79,33,93,7,93125/AL
984022042234684525,Boavista Loft by LovelyStay,537900858,Luís,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15624,-8.62231,Entire home/apt,54,2,10,2024-03-03,1.85,1,256,10,146335/AL
40738200,Sweet Getaway -  2 Bedroom Apartment,50369948,Dora,VILA NOVA DE GAIA,Mafamude e Vilar do Paraíso,41.1259821,-8.6062484,Entire home/apt,66,3,13,2024-03-11,0.99,1,240,10,136017/AL
