stop_id,stop_code,stop_name,stop_lat,stop_lon
37549,0,MONTE CAMPANHÃ,41.15683031548162,-8.575046144520762
38154,0,PR. DA CORUJEIRA,41.158314511347655,-8.578630753541917
38652,0,ESTÁDIO DO DRAGÃO,41.16093998472102,-8.582089988185723
39227,0,DOLCE VITA,41.16313434542563,-8.585867855531054
47176,0,BOAVISTA - B. SUCESSO,41.15591215341437,-8.628484237509992
40982,0,COUTINHO AZEVEDO,41.159413756794635,-8.596996310545675
40402,0,S. CRISPIM,41.16072174944653,-8.592909260645058
39312,0,FERNÃO MAGALHÃES,41.16875601947281,-8.586444202825252
38669,0,FONTE DE CONTUMIL,41.16830337962943,-8.58222118615902
38481,0,BR. CONTUMIL,41.16587020671578,-8.580873558288493
38258,0,CONTUMIL (METRO),41.16537998471734,-8.57942998818444
37498,0,CARTES,41.16261440975702,-8.574884412328663
37599,0,BEATA MAFALDA,41.16526238999755,-8.575407473552144
37375,0,SRA.CAMPANHÃ,41.16650998471753,-8.574219988187934
36937,0,NAVAS TOLOSA,41.16831508001446,-8.571104874209471
36823,0,S. ROQUE G. BARROS,41.166925700100464,-8.570479110821577
37556,0,SRA.CAMPANHÃ,41.16647128264258,-8.575132735739512
38162,0,CONTUMIL,41.16568998471721,-8.578749988184768
38173,0,SOUTO CONTUMIL,41.16681419512148,-8.578801733466877
38357,0,TV. PRESA,41.16817998471446,-8.579989988181747
38736,0,FONTE DE CONTUMIL,41.168329984713694,-8.582609988179419
39035,0,BONFIM BARREIROS,41.16888437615898,-8.584530673804263
40515,0,S. CRISPIM,41.160519984718505,-8.593939988176071
41269,0,TEIXEIRA PASCOAIS,41.16114998471669,-8.598679988171568
54975,0,S. PEDRO,41.1857099846685,-8.696009988069699
54772,0,LOTA,41.18308936895638,-8.69352459340408
54663,0,GODINHO,41.18175022905877,-8.69223783917351
54516,0,MATOSINHOS PRAIA,41.17954998288313,-8.690352855741803
52851,0,CASTELO DA FOZ,41.14904998471024,-8.672189988119117
52670,0,IGREJA DA FOZ,41.14849532877521,-8.66983014108435
52524,0,PILOTOS,41.14791320250536,-8.668334374919004
52241,0,CANTAREIRA,41.147919984712985,-8.665539988125644
51726,0,D. LEONOR,41.1471858133056,-8.660432357615104
50912,0,FLUVIAL,41.14836998471556,-8.653549988135419
50511,0,CORDOARIA VELHA,41.14798718779744,-8.650576627376287
50252,0,GÁS,41.148312269286265,-8.648186836809836
49821,0,SÉCIL,41.14824775395903,-8.64478887956448
49247,0,PONTE DA ARRÁBIDA,41.148469984718766,-8.64024998814657
48508,0,BICALHO,41.14805215501745,-8.635696203572913
44113,0,PR. LIBERDADE,41.146534892353074,-8.611552732253426
48477,0,BICALHO,41.14799150007126,-8.635460323538577
49343,0,PONTE DA ARRÁBIDA,41.148397529012456,-8.640850689367296
49914,0,SÉCIL,41.14833114432646,-8.645415584096076
50301,0,GÁS,41.14817372299287,-8.648677387066863
50572,0,CORDOARIA VELHA,41.14806265501042,-8.651092988756398
50931,0,FLUVIAL,41.14839113736221,-8.65376574222304
52283,0,CANTAREIRA,41.14779981596271,-8.665818274399145
52612,0,IGREJA DA FOZ,41.14827782624865,-8.66927374211348
54414,0,AV. MENÉRES,41.17808191500827,-8.68931197786174
54500,0,MATOSINHOS PRAIA,41.180080004534254,-8.690109778545612
54669,0,GODINHO,41.181825000825754,-8.692311494546377
54820,0,LOTA,41.183481988665584,-8.693933960798685
54951,0,S. PEDRO,41.185478665254664,-8.695799528517263
53403,0,E. SEC. G. ZARCO,41.177411336575055,-8.67764042726842
