date, value
2016-03-02,36.9300
2016-03-03,37.0700
2016-03-04,38.7200
2016-03-07,40.8400
2016-03-08,39.6500
2016-03-09,41.0700
2016-03-10,40.0500
2016-03-11,40.3900
2016-03-14,39.5300
2016-03-15,38.7400
2016-03-16,40.3300
2016-03-17,41.5400
2016-03-18,41.2000
2016-03-21,41.5400
2016-03-22,41.7900
2016-03-23,40.4700
2016-03-24,40.4400
2016-03-28,40.2700
2016-03-29,39.1400
2016-03-30,39.2600
2016-03-31,39.6000
2016-04-01,38.6700
2016-04-04,37.6900
2016-04-05,37.8700
2016-04-06,39.8400
2016-04-07,39.4300
2016-04-08,41.9400
2016-04-11,42.8300
2016-04-12,44.6900
2016-04-13,44.1800
2016-04-14,43.8400
2016-04-15,43.1000
2016-04-18,42.9100
2016-04-19,44.0300
2016-04-20,45.8000
2016-04-21,44.5300
2016-04-22,45.1100
2016-04-25,44.4800
2016-04-26,45.7400
2016-04-27,47.1800
2016-04-28,48.1400
2016-04-29,48.1300
2016-05-02,45.8300
2016-05-03,44.9700
2016-05-04,44.6200
2016-05-05,45.0100
2016-05-06,45.3700
2016-05-09,43.6300
2016-05-10,45.5200
2016-05-11,47.6000
2016-05-12,48.0800
2016-05-13,47.8300
2016-05-16,48.9700
2016-05-17,49.2800
2016-05-18,48.9300
2016-05-19,48.8100
2016-05-20,48.7200
2016-05-23,48.3500
2016-05-24,48.6100
2016-05-25,49.7400
2016-05-26,49.5900
2016-05-27,49.3200
2016-05-30,49.7600
2016-05-31,49.6900
2016-06-01,49.7200
2016-06-02,50.0400
2016-06-03,49.6400
2016-06-06,50.5500
2016-06-07,51.4400
2016-06-08,52.5100
2016-06-09,51.9500
2016-06-10,50.5400
2016-06-13,50.3500
2016-06-14,49.8300
2016-06-15,48.9700
2016-06-16,47.1900
2016-06-17,49.1700
2016-06-20,50.6500
2016-06-21,50.6200
2016-06-22,49.8800
2016-06-23,50.9100
2016-06-24,48.4100
2016-06-27,47.1600
2016-06-28,48.5800
2016-06-29,50.6100
2016-06-30,49.6800
2016-07-01,50.3500
2016-07-04,50.1000
2016-07-05,47.9600
2016-07-06,48.8000
2016-07-07,46.4000
2016-07-08,46.7600
2016-07-11,46.2500
2016-07-12,48.4700
2016-07-13,46.2600
2016-07-14,47.3700
2016-07-15,47.6100
2016-07-18,46.9600
2016-07-19,46.6600
2016-07-20,47.1700
2016-07-21,46.2000
2016-07-22,45.6900
2016-07-25,44.7200
2016-07-26,44.8700
2016-07-27,43.4700
2016-07-28,42.7000
2016-07-29,42.4600
2016-08-01,42.1400
2016-08-02,41.8000
2016-08-03,43.1000
2016-08-04,44.2900
2016-08-05,44.2700
2016-08-08,45.3900
2016-08-09,44.9800
2016-08-10,44.0500
2016-08-11,46.0400
2016-08-12,46.9700
2016-08-15,48.3500
2016-08-16,49.2300
2016-08-17,49.8500
2016-08-18,50.8900
2016-08-19,50.8800
2016-08-22,49.1600
2016-08-23,49.9600
2016-08-24,49.0500
2016-08-25,49.6700
2016-08-26,49.9200
2016-08-29,49.2600
2016-08-30,48.3700
2016-08-31,47.0400
2016-09-01,45.4500
2016-09-02,46.8300
2016-09-05,47.6300
2016-09-06,47.2600
2016-09-07,47.9800
2016-09-08,49.9900
2016-09-09,48.0100
2016-09-12,48.3200
2016-09-13,47.1000
2016-09-14,45.8500
2016-09-15,46.5900
2016-09-16,45.7700
2016-09-19,45.9500
2016-09-20,45.8800
2016-09-21,46.8300
2016-09-22,47.6500
2016-09-23,45.8900
2016-09-26,47.3500
2016-09-27,45.9700
2016-09-28,48.6900
2016-09-29,49.2400
2016-09-30,49.0600
2016-10-03,50.8900
2016-10-04,50.8700
2016-10-05,51.8600
2016-10-06,52.5100
2016-10-07,51.9300
2016-10-10,53.1400
2016-10-11,52.4100
2016-10-12,51.8100
